URL,Indexing coverage,IBM Notes
https://www.parcelmanagement.com/dp/0c2769009,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0c3753368,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0c5706203,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0c6587864,Server error (5xx),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0c7545738,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0d1291547,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0d1309841,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0d5071654,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0d5949737,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e1026205,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e197014,Blocked by robots.txt,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e3774353,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e428632,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e4309138,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e4885291,Blocked by robots.txt,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e5393031,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e5595999,Server error (5xx),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0e637995,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0f1014328,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0f1288713,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0f2576522,Not found (404),Spam URL - Need to set this to 410 and request for removal via GSC
https://www.parcelmanagement.com/dp/0f3260810,Indexed pages,Spam URL - Need to set this to 410 and request for removal via GSC
